DATA;REGIAO/CANAL;COD. PROD;DESCRICAO PROD;CATEGORY;FABRICANTE;MARCA;TAMANHO;LEVEL;VENDAS ('000 UNID);VENDAS EM VALOR REAL ('000);DISTR. PONDERADA;DISTRIBUICAO NUMERICA
;;R73886;CAPAS ESCAMANDRO LTDA. NEUTRX ANIMAL FANTÁSTICO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;ANIMAL FANTÁSTICO;COR;20672;6286651;72;50
;;R31266;CAPAS ESCAMANDRO LTDA. NEUTRX BRUXO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;BRUXO;COR;1184;5526195;9;56
;;R73825;CAPAS ESCAMANDRO LTDA. NEUTRX TROUXA;CAPAS;ESCAMANDRO LTDA.;NEUTRX;TROUXA;COR;25363;634662;49;54
;;R26852;CAPAS ESCAMANDRO LTDA. NEUTRX DUENDE;CAPAS;ESCAMANDRO LTDA.;NEUTRX;DUENDE;COR;189;9590007;23;92
;;N7409;CAPAS ESCAMANDRO LTDA. OLIVIA ;CAPAS;ESCAMANDRO LTDA.;OLIVIA;;MARCA;29127;5049536;68;89
;;R75276;CAPAS ESCAMANDRO LTDA. OLIVIA BRUXO;CAPAS;ESCAMANDRO LTDA.;OLIVIA;BRUXO;COR;19705;7518871;83;38
;;R20355;CAPAS ESCAMANDRO LTDA. OLIVIA TROUXA;CAPAS;ESCAMANDRO LTDA.;OLIVIA;TROUXA;COR;33686;9391233;42;89
;;R27571;CAPAS ESCAMANDRO LTDA. OLIVIA DUENDE;CAPAS;ESCAMANDRO LTDA.;OLIVIA;DUENDE;COR;39063;8045979;77;28
;AREA II - AUTOSSERVIÇO;A958;CAPAS   ;CAPAS;;;;CATEGORY;44299;4724908;43;21
;;B541;CAPAS ROGUI WARTES LTDA.  ;CAPAS;ROGUI WARTES LTDA.;;;FABRICANTE;33900;7734201;10;23
;;N1266;CAPAS ROGUI WARTES LTDA. ROGUI WARTES ;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;;MARCA;4672;3203732;63;26
;;R81477;CAPAS ROGUI WARTES LTDA. ROGUI WARTES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;BRUXO;COR;28219;3161427;51;40
;;R94635;CAPAS ROGUI WARTES LTDA. ROGUI WARTES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;TROUXA;COR;26529;2082181;8;43
;;R51041;CAPAS ROGUI WARTES LTDA. ROGUI WARTES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;DUENDE;COR;47478;8970651;18;27
;;N2618;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;;MARCA;49447;3639013;76;89
;;R60103;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ANIMAL FANTÁSTICO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;ANIMAL FANTÁSTICO;COR;38817;1419437;8;10
;;R8548;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;BRUXO;COR;12582;9003299;25;70
;;R25240;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;TROUXA;COR;16743;5528393;12;72
;;R59104;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;DUENDE;COR;3680;3428197;40;10
;;N8906;CAPAS ROGUI WARTES LTDA. ROGUI LADIES ;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;;MARCA;9209;9351405;95;21
;;R51297;CAPAS ROGUI WARTES LTDA. ROGUI LADIES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;BRUXO;COR;32388;5202826;89;41
;;R23636;CAPAS ROGUI WARTES LTDA. ROGUI LADIES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;TROUXA;COR;18636;6000266;74;15
;;R5291;CAPAS ROGUI WARTES LTDA. ROGUI LADIES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;DUENDE;COR;25201;2763751;90;47
;;B752;CAPAS ROGUIS MEIDE LTDA.  ;CAPAS;ROGUIS MEIDE LTDA.;;;FABRICANTE;364;8670650;21;46
;;N1471;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;;MARCA;37058;1559392;78;60
;;R82472;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;BRUXO;COR;39051;4122199;19;46
;;R97304;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;TROUXA;COR;36612;8752283;22;23
;;R26605;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;DUENDE;COR;46045;6675817;39;27
;;N7553;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;;MARCA;10895;6388853;95;35
;;R19074;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ANIMAL FANTÁSTICO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;ANIMAL FANTÁSTICO;COR;49540;2225575;86;14
;;R85241;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX BRUXO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;BRUXO;COR;42420;3066621;26;82
;;R99102;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX TROUXA;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;TROUXA;COR;39136;2926558;75;4
;;R20506;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX DUENDE;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;DUENDE;COR;31151;7145171;42;38
;;N9830;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;;MARCA;19307;7299017;23;53
;;R64085;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;BRUXO;COR;47455;1676260;76;40
;;R59319;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;TROUXA;COR;41680;5756181;90;60
;;R18796;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;DUENDE;COR;32642;4903384;55;77
;;B319;CAPAS DEMENTADORES S/A  ;CAPAS;DEMENTADORES S/A;;;FABRICANTE;6881;9572916;29;13
;;N234;CAPAS DEMENTADORES S/A VAIDEMORTE ;CAPAS;DEMENTADORES S/A;VAIDEMORTE;;MARCA;48663;7065559;50;88
;;R91716;CAPAS DEMENTADORES S/A VAIDEMORTE BRUXO;CAPAS;DEMENTADORES S/A;VAIDEMORTE;BRUXO;COR;19264;1027957;11;49
;;R59993;CAPAS DEMENTADORES S/A VAIDEMORTE TROUXA;CAPAS;DEMENTADORES S/A;VAIDEMORTE;TROUXA;COR;20775;2238174;96;39
;;R42210;CAPAS DEMENTADORES S/A VAIDEMORTE DUENDE;CAPAS;DEMENTADORES S/A;VAIDEMORTE;DUENDE;COR;26619;6372993;80;0
;;N2886;CAPAS DEMENTADORES S/A PAN ;CAPAS;DEMENTADORES S/A;PAN;;MARCA;47608;6170849;71;98
;;R13298;CAPAS DEMENTADORES S/A PAN ANIMAL FANTÁSTICO;CAPAS;DEMENTADORES S/A;PAN;ANIMAL FANTÁSTICO;COR;6463;5770494;96;48
;;R93759;CAPAS DEMENTADORES S/A PAN BRUXO;CAPAS;DEMENTADORES S/A;PAN;BRUXO;COR;41518;6694864;52;52
;;R21131;CAPAS DEMENTADORES S/A PAN TROUXA;CAPAS;DEMENTADORES S/A;PAN;TROUXA;COR;3225;1246571;17;68
;;R49532;CAPAS DEMENTADORES S/A PAN DUENDE;CAPAS;DEMENTADORES S/A;PAN;DUENDE;COR;13322;6750711;90;43
;;N5336;CAPAS DEMENTADORES S/A LESTRANHA ;CAPAS;DEMENTADORES S/A;LESTRANHA;;MARCA;16443;4762983;66;47
;;R27351;CAPAS DEMENTADORES S/A LESTRANHA BRUXO;CAPAS;DEMENTADORES S/A;LESTRANHA;BRUXO;COR;38988;2407550;52;40
;;R80752;CAPAS DEMENTADORES S/A LESTRANHA TROUXA;CAPAS;DEMENTADORES S/A;LESTRANHA;TROUXA;COR;11652;4586404;59;0
;;R13333;CAPAS DEMENTADORES S/A LESTRANHA DUENDE;CAPAS;DEMENTADORES S/A;LESTRANHA;DUENDE;COR;33550;1887336;73;61
;;B474;CAPAS ESCAMANDRO LTDA.  ;CAPAS;ESCAMANDRO LTDA.;;;FABRICANTE;49064;957904;39;37
;;N5925;CAPAS ESCAMANDRO LTDA. NILTON ;CAPAS;ESCAMANDRO LTDA.;NILTON;;MARCA;49616;4333363;43;78
;;R36085;CAPAS ESCAMANDRO LTDA. NILTON BRUXO;CAPAS;ESCAMANDRO LTDA.;NILTON;BRUXO;COR;5806;7728626;71;37
;;R23106;CAPAS ESCAMANDRO LTDA. NILTON TROUXA;CAPAS;ESCAMANDRO LTDA.;NILTON;TROUXA;COR;17135;9617697;66;58
;;R12951;CAPAS ESCAMANDRO LTDA. NILTON DUENDE;CAPAS;ESCAMANDRO LTDA.;NILTON;DUENDE;COR;33289;6936556;6;47
;;N1790;CAPAS ESCAMANDRO LTDA. NEUTRX ;CAPAS;ESCAMANDRO LTDA.;NEUTRX;;MARCA;17745;1063172;1;78
;;R73886;CAPAS ESCAMANDRO LTDA. NEUTRX ANIMAL FANTÁSTICO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;ANIMAL FANTÁSTICO;COR;9325;1249809;26;59
;;R31266;CAPAS ESCAMANDRO LTDA. NEUTRX BRUXO;CAPAS;ESCAMANDRO LTDA.;NEUTRX;BRUXO;COR;46563;2867236;0;100
;;R73825;CAPAS ESCAMANDRO LTDA. NEUTRX TROUXA;CAPAS;ESCAMANDRO LTDA.;NEUTRX;TROUXA;COR;41187;4084865;5;35
;;R26852;CAPAS ESCAMANDRO LTDA. NEUTRX DUENDE;CAPAS;ESCAMANDRO LTDA.;NEUTRX;DUENDE;COR;7738;6080503;17;25
;;N7409;CAPAS ESCAMANDRO LTDA. OLIVIA ;CAPAS;ESCAMANDRO LTDA.;OLIVIA;;MARCA;18855;4516516;41;39
;;R75276;CAPAS ESCAMANDRO LTDA. OLIVIA BRUXO;CAPAS;ESCAMANDRO LTDA.;OLIVIA;BRUXO;COR;37506;25975;12;9
;;R20355;CAPAS ESCAMANDRO LTDA. OLIVIA TROUXA;CAPAS;ESCAMANDRO LTDA.;OLIVIA;TROUXA;COR;46432;1163673;97;98
;;R27571;CAPAS ESCAMANDRO LTDA. OLIVIA DUENDE;CAPAS;ESCAMANDRO LTDA.;OLIVIA;DUENDE;COR;12076;3112476;22;72
;AREA III - AUTOSSERVIÇO;A958;CAPAS   ;CAPAS;;;;CATEGORY;38509;2122987;19;5
;;B541;CAPAS ROGUI WARTES LTDA.  ;CAPAS;ROGUI WARTES LTDA.;;;FABRICANTE;37749;5894388;92;23
;;N1266;CAPAS ROGUI WARTES LTDA. ROGUI WARTES ;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;;MARCA;40268;517708;2;48
;;R81477;CAPAS ROGUI WARTES LTDA. ROGUI WARTES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;BRUXO;COR;44644;4382576;56;25
;;R94635;CAPAS ROGUI WARTES LTDA. ROGUI WARTES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;TROUXA;COR;9569;8112971;52;11
;;R51041;CAPAS ROGUI WARTES LTDA. ROGUI WARTES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI WARTES;DUENDE;COR;10646;54688;0;8
;;N2618;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;;MARCA;42525;6827333;53;52
;;R60103;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES ANIMAL FANTÁSTICO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;ANIMAL FANTÁSTICO;COR;49095;5990135;43;55
;;R8548;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;BRUXO;COR;2638;6612073;79;13
;;R25240;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;TROUXA;COR;11806;868949;27;71
;;R59104;CAPAS ROGUI WARTES LTDA. ROGUI PARATODES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI PARATODES;DUENDE;COR;22423;5660406;6;38
;;N8906;CAPAS ROGUI WARTES LTDA. ROGUI LADIES ;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;;MARCA;16344;674622;36;64
;;R51297;CAPAS ROGUI WARTES LTDA. ROGUI LADIES BRUXO;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;BRUXO;COR;27255;4520235;36;29
;;R23636;CAPAS ROGUI WARTES LTDA. ROGUI LADIES TROUXA;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;TROUXA;COR;32223;9714705;48;14
;;R5291;CAPAS ROGUI WARTES LTDA. ROGUI LADIES DUENDE;CAPAS;ROGUI WARTES LTDA.;ROGUI LADIES;DUENDE;COR;4047;9206232;69;56
;;B752;CAPAS ROGUIS MEIDE LTDA.  ;CAPAS;ROGUIS MEIDE LTDA.;;;FABRICANTE;35198;7679567;41;96
;;N1471;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;;MARCA;20073;8036689;24;96
;;R82472;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;BRUXO;COR;25860;3211366;74;15
;;R97304;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;TROUXA;COR;45344;3282441;35;17
;;R26605;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI WOODCROFT DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI WOODCROFT;DUENDE;COR;14153;4873555;20;79
;;N7553;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;;MARCA;17208;2565808;67;11
;;R19074;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX ANIMAL FANTÁSTICO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;ANIMAL FANTÁSTICO;COR;35926;8410253;24;7
;;R85241;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX BRUXO;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;BRUXO;COR;30806;7013374;59;72
;;R99102;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX TROUXA;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;TROUXA;COR;42135;952780;47;10
;;R20506;CAPAS ROGUIS MEIDE LTDA. QUALQUERSEX DUENDE;CAPAS;ROGUIS MEIDE LTDA.;QUALQUERSEX;DUENDE;COR;30684;6778489;16;52
;;N9830;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA ;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;;MARCA;1333;7339429;33;7
;;R64085;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA BRUXO;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;BRUXO;COR;41479;6098558;80;87
;;R59319;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA TROUXA;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;TROUXA;COR;9544;5202403;89;19
;;R18796;CAPAS ROGUIS MEIDE LTDA. MEIDIBAI ROSMERTA DUENDE;CAPAS;ROGUIS MEIDE LTDA.;MEIDIBAI ROSMERTA;DUENDE;COR;26719;1346678;83;21
;;B319;CAPAS DEMENTADORES S/A  ;CAPAS;DEMENTADORES S/A;;;FABRICANTE;12840;7977013;23;69
;;N234;CAPAS DEMENTADORES S/A VAIDEMORTE ;CAPAS;DEMENTADORES S/A;VAIDEMORTE;;MARCA;32028;4716667;77;81
;;R91716;CAPAS DEMENTADORES S/A VAIDEMORTE BRUXO;CAPAS;DEMENTADORES S/A;VAIDEMORTE;BRUXO;COR;5335;5105067;14;84
;;R59993;CAPAS DEMENTADORES S/A VAIDEMORTE TROUXA;CAPAS;DEMENTADORES S/A;VAIDEMORTE;TROUXA;COR;4167;3315029;88;53
;;R42210;CAPAS DEMENTADORES S/A VAIDEMORTE DUENDE;CAPAS;DEMENTADORES S/A;VAIDEMORTE;DUENDE;COR;41871;9688468;52;15
;;N2886;CAPAS DEMENTADORES S/A PAN ;CAPAS;DEMENTADORES S/A;PAN;;MARCA;38305;5955297;34;83
;;R13298;CAPAS DEMENTADORES S/A PAN ANIMAL FANTÁSTICO;CAPAS;DEMENTADORES S/A;PAN;ANIMAL FANTÁSTICO;COR;41215;7653531;97;57
;;R93759;CAPAS DEMENTADORES S/A PAN BRUXO;CAPAS;DEMENTADORES S/A;PAN;BRUXO;COR;27312;3268347;38;17
;;R21131;CAPAS DEMENTADORES S/A PAN TROUXA;CAPAS;DEMENTADORES S/A;PAN;TROUXA;COR;48899;1965137;67;24
;;R49532;CAPAS DEMENTADORES S/A PAN DUENDE;CAPAS;DEMENTADORES S/A;PAN;DUENDE;COR;31993;8189594;33;11
;;N5336;CAPAS DEMENTADORES S/A LESTRANHA ;CAPAS;DEMENTADORES S/A;LESTRANHA;;MARCA;21;9060848;5;35
;;R27351;CAPAS DEMENTADORES S/A LESTRANHA BRUXO;CAPAS;DEMENTADORES S/A;LESTRANHA;BRUXO;COR;19857;4391573;90;70
;;R80752;CAPAS DEMENTADORES S/A LESTRANHA TROUXA;CAPAS;DEMENTADORES S/A;LESTRANHA;TROUXA;COR;16507;9158207;40;29
;;R13333;CAPAS DEMENTADORES S/A LESTRANHA DUENDE;CAPAS;DEMENTADORES S/A;LESTRANHA;DUENDE;COR;46726;74674;38;94
